# Glossary in tab-separated format -*- coding: utf-8 -*-
tutorial	návod
sign up	zaregistrovat se
Neural Machine Translation	Neurální strojový překlad
Preferences	Předvolby
cutting-edge	nejvyspělejší
versioning systems	systémy sloužící ke správě verzí projektu
Align Files	Spárovat soubory	zarovna, alignovat
Aligner	párovací nástroj
versioning system	systém správy verzí
folder	adresář
directory	adresář
tag	tag
settings	nastavení
spellchecking dictionary	slovník kontroly pravopisu
repeated segment	opakující se segment
global	obecný
pane	podokno
configuration folder	konfigurační adresář
project folder	adresář projektu
user manual	uživatelská příručka
source folder	zdrojový adresář
translation unit	překladová jednotka
source segment	zdrojový segment
project path	cesta k projektu
options	možnosti	GUI
options	volby	konzole
source language	zdrojový jazyk
target language	cílový jazyk
executing	provádí se
Java Resource Bundles	Zdrojové balíčky Java
specified	zadaný
source term	zdrojový termín
target term	překlad termínu
spelling dictionary	slovník pro kontrolu pravopisu
segmentation rules	pravidla segmentace
completion	dokončování
credentials	přihlašovací údaje
